anio,cat,siaf_id,pia,pim,devengado
2008,total,300466,1866330,2897723,1968498
2008,total,300467,1320011,2773259,1983590
2008,total,300468,2167648,3946547,2862860
2008,total,300469,3121683,6231785,4284212
2008,total,300470,4194534,6655624,5048668
2008,total,300471,11395344,18131786,16166722
2008,total,300472,7109406,8991858,7472364
2008,total,300473,2939967,4222493,2863725
2008,total,300474,1428687,1966744,1628653
2008,total,300475,2741490,4304260,3335473
2008,total,300476,1087379,1541525,1237539
2008,total,300477,3370353,5221421,4112312
2008,total,300478,4891329,7524834,5826251
2008,total,300479,6585918,13482049,7128320
2008,total,300480,896596,1893195,1587432
2008,total,300481,824506,976067,905884
2008,total,300482,741978,1661895,1387958
2008,total,300483,952919,1054225,908273
2008,total,300484,1270421,2052847,1772602
2008,total,300485,1021218,1096286,870111
2008,total,300486,1153262,4096962,1509143
2008,total,300487,781566,975923,773234
2008,total,300488,966452,2472331,963734
2008,total,300489,1145816,2152426,1839296
2008,total,300490,1450145,2172134,1678287
2008,total,300491,989881,1253719,1102769
2008,total,300492,644136,768009,668453
2008,total,300493,855602,1218811,873358
2008,total,300494,671540,816898,637228
2008,total,300495,1184516,1708756,1038266
2008,total,300496,792589,1186792,918252
2008,total,300497,1567522,1733463,1510402
2008,total,300498,608013,949837,909220
2008,total,300499,863889,1015468,720528
2008,total,300500,6202846,13462334,9485484
2008,total,300501,1132542,1767425,1428355
2008,total,300502,848447,1684506,1364561
2008,total,300503,757764,958816,770900
2008,total,300504,1744667,2364367,1935801
2008,total,300505,1266748,1773853,1210096
2008,total,300506,735613,763147,683441
2008,total,300507,1211501,2427655,1282954
2008,total,300508,1497644,2461447,1640279
2008,total,300509,673244,788834,657160
2008,total,300510,618591,1193721,1157337
2008,total,300511,880174,908681,841346
2008,total,300512,633137,635879,575479
2008,total,300513,713280,1203972,859332
2008,total,300514,606107,908650,563803
2008,total,300515,624278,707378,615445
2008,total,300516,548934,631463,545421
2008,total,300517,685838,1623285,1335108
2008,total,300518,1929906,3141523,2369940
2008,total,300519,609733,811820,764663
2008,total,300520,675088,841422,611962
2008,total,300521,643287,774405,696184
2008,total,300522,625680,1071897,736410
2008,total,300523,850003,1191655,898277
2008,total,300524,669456,663236,556787
2008,total,300525,689143,887603,761158
2008,total,300526,806075,1060227,925110
2008,total,300527,713585,795573,647017
2008,total,300528,707259,1086195,974989
2008,total,300529,3080121,4452273,2660096
2008,total,300530,893672,1561213,1473167
2008,total,300531,675676,1521778,1443000
2008,total,300532,639824,754852,685821
2008,total,300533,1659456,3677643,1879163
2008,total,300534,733371,1213398,936658
2008,total,300535,712029,1042555,978366
2008,total,300536,717282,1399714,1189631
2008,total,300537,1180946,1740694,1440725
2008,total,300538,961281,1540387,955549
2008,total,300539,1224978,1766689,1171033
2008,total,300540,1542958,1903412,1589544
2008,total,300541,3769313,8216872,5405936
2008,total,300542,753869,2954649,2727621
2008,total,300543,758872,1273169,984005
2008,total,300544,1146750,1817970,1504926
2008,total,300545,950343,1978939,1134214
2008,total,300546,868706,1786700,1156655
2008,total,300547,883174,960384,830608
2008,total,300548,1394897,3528509,2512174
2008,total,301830,2680775,3514486,2901854
2008,total,301837,4138792,8358007,5312380
2008,total,300549,77789537,211136105,83929445
2008,total,300550,5406643,9493366,4062832
2008,total,300551,2899483,6936574,3990681
2008,total,300552,5622646,11414568,5830707
2008,total,300553,24117049,49346552,40689148
2008,total,300554,8338088,21337200,10269859
2008,total,300555,2718868,5376622,3609553
2008,total,300556,26812414,70397196,36412731
2008,total,300557,5173988,5422111,4071489
2008,total,300558,2536475,3919764,2968298
2008,total,300559,5400372,10547769,6482693
2008,total,300560,3114030,5027859,3968916
2008,total,300562,8165896,14323309,12581238
2008,total,300563,6881692,10804541,8269772
2008,total,300564,3907582,4203506,2848964
2008,total,300565,2703036,3950180,2966912
2008,total,300566,9263434,11055596,9643264
2008,total,300567,1337269,1636374,1251900
2008,total,300568,2912420,2809416,2486590
2008,total,300569,4982195,7937707,6310043
2008,total,300570,640654,924424,600273
2008,total,300571,1080499,1234453,959251
2008,total,300572,1996467,2511277,1698039
2008,total,300573,2185998,3144994,2595423
2008,total,300574,3270104,4465205,4028445
2008,total,300575,2106069,2227217,1771656
2008,total,300576,800696,878613,795999
2008,total,300577,2469630,3612885,2414601
2008,total,300578,14677460,22883068,19711417
2008,total,300579,1465462,3054053,1410369
2008,total,300580,1440872,1586762,1445544
2008,total,300581,1616028,1435153,1162501
2008,total,300582,1100209,1185970,1158614
2008,total,300583,1272769,1100440,995324
2008,total,300584,1879618,4428277,1516471
